ncores;expl_var;k_max;T;m;MC;A;I
4;0.95;3;256;256;4.98;127.1;18.72
1;0.6;7;256;256;10.03;418.89;46.17
2;0.6;7;256;256;7;244.8;29.95
4;0.6;7;256;256;6.77;163.89;21.72
1;0.8;7;256;256;10.12;644.11;46.29
2;0.8;7;256;256;7.16;377.03;29.2
4;0.8;7;256;256;7.08;251.28;21.79
1;0.95;7;256;256;10;923.92;216.38
2;0.95;7;256;256;6.94;541.84;131.44
4;0.95;7;256;256;7.14;351.43;88.65
1;0.6;10;256;256;13.96;738.39;72.9
2;0.6;10;256;256;8;420.11;41.56
4;0.6;10;256;256;7.24;280.25;33.61
1;0.8;10;256;256;13.11;1161.36;73.1
2;0.8;10;256;256;8.02;644.25;41.32
4;0.8;10;256;256;8.41;441.44;33.1
1;0.95;10;256;256;13.68;1687.26;394.31
2;0.95;10;256;256;8.52;945.56;224.83
4;0.95;10;256;256;8.23;628.1;153.42
1;0.6;3;512;256;18.75;646.14;62.46
2;0.6;3;512;256;15.92;503.6;52.71
4;0.6;3;512;256;18.06;517.57;53.58
1;0.8;3;512;256;18.75;1113.28;122.12
2;0.8;3;512;256;15.47;833.25;97.64
4;0.8;3;512;256;16.65;774.06;97.42
1;0.95;3;512;256;18.89;1837.8;363.63
2;0.95;3;512;256;16.47;1304.33;300.8
4;0.95;3;512;256;16.71;1300.89;287.78
1;0.6;7;512;256;44.02;1936.86;352.13
2;0.6;7;512;256;34.07;1428.4;234.17
4;0.6;7;512;256;33.78;1348.18;207.55
1;0.8;7;512;256;44.1;2918.71;528.75
2;0.8;7;512;256;34.1;2142.25;355.36
4;0.8;7;512;256;33.54;;341.03
1;0.95;7;512;256;43.8;;1402.19
2;0.95;7;512;256;34.61;;917.4
4;0.95;7;512;256;33.36;;865.88
1;0.6;10;512;256;61.44;;663.42
2;0.6;10;512;256;45.85;;368.29
4;0.6;10;512;256;43.11;;323.52
1;0.8;10;512;256;55.29;;1039.24
